code,name,market,industry
2930,北の達人コーポレーション,プライム,化学
2931,ユーグレナ,プライム,食料品
2932,ＳＴＩフードホールディングス,スタンダード,食料品
2933,紀文食品,プライム,食料品
2934,ジェイフロンティア,グロース,食料品
2935,ピックルスホールディングス,プライム,食料品
2936,ベースフード,グロース,食料品
2937,サンクゼール,グロース,食料品
2938,オカムラ食品工業,スタンダード,食料品
2961,日本調理機,スタンダード,金属製品
2962,テクニスコ,スタンダード,金属製品
2970,ＧＬＣ　ＧＲＯＵＰ,スタンダード,不動産業
2975,スター・マイカ・ホールディングス,プライム,不動産業
2978,ツクルバ,グロース,不動産業
2980,ＳＲＥホールディングス,プライム,不動産業
2981,ランディックス,グロース,不動産業
2982,ＡＤワークスグループ,プライム,不動産業
2983,アールプランナー,グロース,不動産業
2984,ヤマイチエステート,スタンダード,不動産業
2986,ＬＡホールディングス,グロース,不動産業
2991,ランドネット,スタンダード,不動産業
2993,長栄,スタンダード,不動産業
2997,ストレージ王,グロース,不動産業
2998,クリアル,グロース,不動産業
2999,ホームポジション,スタンダード,不動産業
3001,片倉工業,スタンダード,繊維製品
3002,グンゼ,プライム,繊維製品
3003,ヒューリック,プライム,不動産業
3004,神栄,スタンダード,卸売業
3010,ポラリス・ホールディングス,スタンダード,サービス業
3011,バナーズ,スタンダード,小売業
3020,アプライド,スタンダード,小売業
3021,パシフィックネット,スタンダード,サービス業
3023,ラサ商事,スタンダード,卸売業
3024,クリエイト,スタンダード,卸売業
3028,アルペン,プライム,小売業
3030,ハブ,スタンダード,小売業
3031,ラクーンホールディングス,プライム,情報・通信業
3034,クオールホールディングス,プライム,小売業
3035,ケイティケイ,スタンダード,卸売業
3036,アルコニックス,プライム,卸売業
3038,神戸物産,プライム,卸売業
3040,ソリトンシステムズ,プライム,情報・通信業
3041,ビューティカダンホールディングス,スタンダード,卸売業
3042,セキュアヴェイル,スタンダード,情報・通信業
3045,カワサキ,スタンダード,卸売業
3046,ジンズホールディングス,プライム,小売業
3048,ビックカメラ,プライム,小売業
3050,ＤＣＭホールディングス,プライム,小売業
3053,ペッパーフードサービス,スタンダード,小売業
3054,ハイパー,スタンダード,卸売業
3058,三洋堂ホールディングス,スタンダード,小売業
3059,ヒラキ,スタンダード,小売業
3063,ジェイグループホールディングス,グロース,小売業
3064,ＭｏｎｏｔａＲＯ,プライム,小売業
3065,ライフフーズ,スタンダード,小売業
3067,東京一番フーズ,スタンダード,小売業
3068,ＷＤＩ,スタンダード,小売業
3069,ＪＦＬＡホールディングス,スタンダード,食料品
3070,ジェリービーンズグループ,グロース,卸売業
3071,ストリーム,スタンダード,小売業
3075,銚子丸,スタンダード,小売業
3076,あい　ホールディングス,プライム,卸売業
3077,ホリイフードサービス,スタンダード,小売業
3079,ディーブイエックス,スタンダード,卸売業
3080,ジェーソン,スタンダード,小売業
3082,きちりホールディングス,スタンダード,小売業
3083,スターシーズ,スタンダード,小売業
3086,Ｊ．フロント　リテイリング,プライム,小売業
3087,ドトール・日レスホールディングス,プライム,小売業
3088,マツキヨココカラ＆カンパニー,プライム,小売業
3089,テクノアルファ,スタンダード,卸売業
3091,ブロンコビリー,プライム,小売業
3092,ＺＯＺＯ,プライム,小売業
3093,トレジャー・ファクトリー,プライム,小売業
3096,オーシャンシステム,スタンダード,小売業
3097,物語コーポレーション,プライム,小売業
3099,三越伊勢丹ホールディングス,プライム,小売業
3101,東洋紡,プライム,化学
3103,ユニチカ,スタンダード,繊維製品
3104,富士紡ホールディングス,プライム,繊維製品
3105,日清紡ホールディングス,プライム,電気機器
3106,倉敷紡績,プライム,繊維製品
3107,ダイワボウホールディングス,プライム,卸売業
3109,シキボウ,プライム,繊維製品
3110,日東紡績,プライム,ガラス・土石製品
3111,オーミケンシ,スタンダード,繊維製品
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,スタンダード,証券、商品先物取引業
3116,トヨタ紡織,プライム,輸送用機器
3121,マーチャント・バンカーズ,スタンダード,サービス業
3123,サイボー,スタンダード,繊維製品
3131,シンデン・ハイテックス,スタンダード,卸売業
3132,マクニカホールディングス,プライム,卸売業
3133,海帆,グロース,小売業
3134,Ｈａｍｅｅ,スタンダード,小売業
3135,マーケットエンタープライズ,スタンダード,小売業
3137,ファンデリー,スタンダード,小売業
3138,富士山マガジンサービス,スタンダード,小売業
3139,ラクト・ジャパン,プライム,卸売業
3140,ＢＲＵＮＯ,グロース,卸売業
3143,オーウイル,スタンダード,卸売業
3148,クリエイトＳＤホールディングス,プライム,小売業
3150,グリムス,プライム,電気・ガス業
3151,バイタルケーエスケー・ホールディングス,プライム,卸売業
3153,八洲電機,プライム,卸売業
3154,メディアスホールディングス,プライム,卸売業
3156,レスター,プライム,卸売業
3157,ジオリーブグループ,スタンダード,卸売業
3159,丸善ＣＨＩホールディングス,スタンダード,小売業
3160,大光,スタンダード,卸売業
3161,アゼアス,スタンダード,卸売業
3166,ＯＣＨＩホールディングス,スタンダード,卸売業
3167,ＴＯＫＡＩホールディングス,プライム,卸売業
3168,ＭＥＲＦ,スタンダード,卸売業
3169,ミサワ,スタンダード,小売業
3172,ティーライフ,スタンダード,小売業
3173,Ｃｏｍｉｎｉｘ,スタンダード,卸売業
3174,ハピネス・アンド・ディ,スタンダード,小売業
3175,エー・ピーホールディングス,スタンダード,小売業
3176,三洋貿易,プライム,卸売業
3177,ありがとうサービス,スタンダード,小売業
3178,チムニー,スタンダード,小売業
3179,シュッピン,プライム,小売業
