シグナル日,コード,注文方式,約定,約定価格,1日後損益,3日後損益,5日後損益,10日後損益,MFE,MAE,未約定後最大上昇率,未約定後最大下落率
2026-08-14,5423,limit,True,1720.0,-0.17441860465116088,,,,2.55813953488373,-0.8139534883720878,,
2026-08-14,5423,stop,True,1738.0,-1.2082853855005737,,,,1.4959723820483273,-1.8411967779056404,,
2026-08-14,4887,market,True,1632.0,-1.9607843137254943,,,,0.0,-1.9607843137254943,,
2026-08-14,4887,limit,True,1627.0,-1.659496004917027,,,,0.3073140749846326,-1.659496004917027,,
2026-08-14,4887,stop,True,1632.0,-1.9607843137254943,,,,0.0,-1.9607843137254943,,
2026-08-14,8914,market,True,918.0,0.2178649237472685,,,,3.4858387799564294,-1.525054466230935,,
2026-08-14,8914,limit,True,918.0,0.2178649237472685,,,,3.4858387799564294,-1.525054466230935,,
2026-08-14,8914,stop,True,928.854,-0.9532176208532306,,,,2.2765687610754703,-2.675770357881868,,
2026-08-14,6433,market,True,1008.0,2.182539682539675,,,,5.35714285714286,-1.388888888888884,,
2026-08-14,6433,limit,True,1006.0,2.385685884691857,,,,5.566600397614319,-1.1928429423459286,,
2026-08-14,6433,stop,True,1008.012,2.181323238215427,,,,5.355888620373572,-1.3900628167124895,,
2026-08-14,6526,market,True,2116.5,0.6850933144342042,,,,1.441058351051261,-4.606661941885193,,
2026-08-14,6526,limit,True,2116.5,0.6850933144342042,,,,1.441058351051261,-4.606661941885193,,
2026-08-14,6526,stop,True,2122.236,0.4129606697841348,,,,1.166882476783937,-4.864491979214369,,
2026-08-14,6629,market,True,1005.0,0.3980099502487455,,,,1.4925373134328401,-2.487562189054726,,
2026-08-14,6629,limit,True,1005.0,0.3980099502487455,,,,1.4925373134328401,-2.487562189054726,,
2026-08-14,6629,stop,True,1008.012,0.0980147061741432,,,,1.189271556291005,-2.7789351714066823,,
2026-08-14,6368,market,True,15085.0,-2.088167053364265,,,,0.5634736493205228,-7.325157441166718,,
2026-08-14,6368,limit,True,14850.0,-0.5387205387205385,,,,2.154882154882154,-5.8585858585858634,,
2026-08-14,6368,stop,True,15085.0,-2.088167053364265,,,,0.5634736493205228,-7.325157441166718,,
2026-08-14,3288,market,True,8229.0,-0.46178150443553223,,,,0.4739336492890933,-3.5970348766557247,,
2026-08-14,3288,limit,True,8225.0,-0.41337386018237554,,,,0.5227963525835877,-3.5501519756838906,,
2026-08-14,3288,stop,True,8241.45,-0.6121495610602601,,,,0.3221520484866014,-3.742666642399106,,
2026-08-14,3105,market,True,2493.0,-1.544324107501005,,,,0.28078620136382515,-7.019655034095463,,
2026-08-14,3105,limit,True,2474.0,-0.7881972514147129,,,,1.0509296685529579,-6.305578011317703,,
2026-08-14,3105,stop,True,2493.0,-1.544324107501005,,,,0.28078620136382515,-7.019655034095463,,
2026-08-14,3544,market,True,1249.0,-0.08006405124099114,,,,0.08006405124099114,-0.24019215372297342,,
2026-08-14,3544,limit,True,1249.0,-0.08006405124099114,,,,0.08006405124099114,-0.24019215372297342,,
2026-08-14,3544,stop,False,,,,,,,,0.0,-0.31999999999999806
2026-08-14,4661,market,True,2967.0,-2.898550724637683,,,,0.016852039096737492,-4.971351533535562,,
2026-08-14,4661,limit,True,2967.0,-2.898550724637683,,,,0.016852039096737492,-4.971351533535562,,
2026-08-14,4661,stop,False,,,,,,,,-0.43616842811609047,-5.401778225130016
2026-08-14,2175,market,True,2303.0,-0.7381676074685206,,,,0.8684324793747367,-2.127659574468088,,
2026-08-14,2175,limit,True,2303.0,-0.7381676074685206,,,,0.8684324793747367,-2.127659574468088,,
2026-08-14,2175,stop,False,,,,,,,,-1.1489361702127665,-4.08510638297872
2026-08-14,1968,market,True,2400.0,1.374999999999993,,,,2.708333333333335,-0.7916666666666683,,
2026-08-14,1968,limit,True,2383.0,0.08392782207302663,,,,3.441040704993714,-0.08392782207301552,,
2026-08-14,1968,stop,True,2400.0,1.374999999999993,,,,2.708333333333335,-0.7916666666666683,,
