シグナル日,コード,ランク,買い・売り,RSI14,出来高倍率,BB位置,ローソク足パターン,シグナル種別,1日後終値,2日後終値,3日後終値,5日後終値,10日後終値,20日後終値,1日後騰落率,2日後騰落率,3日後騰落率,5日後騰落率,10日後騰落率,20日後騰落率,期間中最高値,期間中最安値,最大上昇率,最大下落率,利確到達,損切り到達,5日損益率
2026-08-14,4324,B,買い,63.03,0.88,+1.28σ,陰線→陽線 / 前日安値割れ反転,底固め,3510.0,3504.0,3474.0,,,,-7.093700370566436,-7.252514557967182,-8.04658549497088,,,,3567.0,3400.0,-5.584965590259394,-10.005293806246696,False,True,
2026-08-14,7242,B,買い,67.23,0.63,+1.57σ,陰線→陽線 / 強気包み足,底固め,4605.0,4640.0,4600.0,,,,-0.6472491909385147,0.10787486515642097,-0.7551240560949246,,,,4670.0,4575.0,0.7551240560949246,-1.2944983818770184,False,False,
2026-08-14,9766,除外,買い,64.71,1.22,+1.30σ,陰線→陽線 / 長い下ヒゲ（ハンマー）,底固め,21595.0,21540.0,21680.0,,,,-1.7962710322873998,-2.046384720327421,-1.409731696225558,,,,22150.0,21160.0,0.7276034561164213,-3.774442928603916,False,False,
2026-08-14,1720,B,買い,45.07,0.85,-0.66σ,陰線→陽線 / 前日安値割れ反転,BB逆張り,1145.0,1142.0,1118.0,,,,0.26269702276706663,0.0,-2.1015761821365997,,,,1160.0,1105.0,1.5761821366024442,-3.239929947460596,False,False,
2026-08-14,2124,除外,買い,75.53,2.24,+2.72σ,強気包み足,底固め,1039.0,1027.0,990.0,,,,-0.5741626794258381,-1.7224880382775143,-5.263157894736848,,,,1065.0,984.0,1.9138755980861344,-5.837320574162675,False,False,
2026-08-14,2158,B,買い,55.8,1.35,+0.98σ,強気包み足,底固め,644.0,649.0,622.0,,,,-0.7704160246533087,0.0,-4.1602465331278875,,,,665.0,610.0,2.4653312788905923,-6.009244992295837,False,True,
2026-08-14,9409,C,買い,42.24,0.92,-0.85σ,陰線→陽線 / 前日安値割れ反転,BB逆張り,3060.0,3050.0,3075.0,,,,0.16366612111293755,-0.16366612111292644,0.654664484451728,,,,3105.0,3020.0,1.6366612111292866,-1.1456628477905073,False,False,
2026-08-14,4825,C,買い,57.33,1.58,+1.85σ,陰線→陽線 / 強気包み足,底固め,2056.0,2042.0,2053.0,,,,1.3307047806801364,0.6407097092163694,1.182848693937899,,,,2063.0,2015.0,1.675702316412031,-0.6899950714637781,False,False,
2026-08-14,9301,C,買い,41.4,1.34,-1.01σ,陰線→陽線 / 長い下ヒゲ（ハンマー） / 前日安値割れ反転,BB逆張り,1498.5,1512.0,1497.5,,,,-0.19980019980020414,0.6993006993007089,-0.2664002664002685,,,,1536.5,1489.0,2.331002331002341,-0.8325008325008376,False,False,
2026-08-14,2749,C,買い,63.37,1.72,+1.58σ,強気包み足 / はらみ足,底固め,643.0,653.0,645.0,,,,-1.0769230769230753,0.4615384615384688,-0.7692307692307665,,,,660.0,638.0,1.538461538461533,-1.8461538461538418,False,False,
2026-08-14,9888,除外,買い,78.52,0.78,+1.89σ,強気包み足,アンチ,1254.0,1235.0,1186.0,,,,-2.336448598130836,-3.816199376947038,-7.632398753894076,,,,1297.0,1177.0,1.0124610591900396,-8.333333333333337,False,False,
2026-08-14,8194,C,買い,56.91,0.65,+1.08σ,長い下ヒゲ（ハンマー） / 前日安値割れ反転,底固め,2585.0,2613.0,2612.0,,,,-0.6533435818601108,0.42275172943888606,0.3843197540353671,,,,2648.0,2547.0,1.7678708685626487,-2.1137586471944636,False,False,
2026-08-14,6331,C,買い,47.64,0.52,+0.49σ,2～5日下落後の陽線,底固め,3335.0,3330.0,3105.0,,,,1.5220700152207112,1.3698630136986356,-5.47945205479452,,,,3405.0,3105.0,3.65296803652968,-5.47945205479452,False,False,
2026-08-14,6330,除外,買い,71.01,2.48,+2.58σ,長い下ヒゲ（ハンマー）,底固め,2438.0,2488.0,2265.0,,,,-5.868725868725866,-3.9382239382239392,-12.548262548262546,,,,2701.0,2245.0,4.285714285714293,-13.320463320463316,False,False,
2026-08-14,7071,C,買い,60.67,1.33,+1.66σ,陰線→陽線,底固め,416.0,423.0,419.0,,,,5.050505050505061,6.818181818181812,5.808080808080818,,,,432.0,398.0,9.090909090909083,0.5050505050504972,False,False,
2026-08-14,4044,除外,買い,71.67,0.59,+2.05σ,陰線→陽線 / 強気包み足 / はらみ足,アンチ,4645.0,4660.0,4450.0,,,,-0.6417112299465288,-0.3208556149732589,-4.8128342245989275,,,,4695.0,4415.0,0.42780748663102663,-5.561497326203213,False,False,
2026-08-14,7182,C,買い,54.37,1.03,+0.34σ,2～5日下落後の陽線,底固め,3277.0,3332.0,3173.0,,,,0.0610687022900791,1.7404580152671656,-3.11450381679389,,,,3360.0,3156.0,2.595419847328251,-3.63358778625954,False,False,
2026-08-14,7545,C,買い,54.41,0.63,+0.68σ,陰線→陽線 / 前日安値割れ反転,底固め,1996.0,2017.0,1992.0,,,,-1.1391778107974204,-0.0990589400693409,-1.3372956909361022,,,,2048.0,1980.0,1.4363546310054431,-1.9316493313521588,False,False,
2026-08-14,3350,C,買い,46.89,0.79,-0.58σ,2～5日下落後の陽線,底固め,217.0,228.0,218.0,,,,-1.8099547511312264,3.167420814479649,-1.3574660633484115,,,,239.0,210.0,8.14479638009049,-4.977375565610864,False,False,
2026-08-14,4480,除外,買い,78.3,5.36,+3.98σ,なし,底固め,2810.0,2844.0,2892.0,,,,4.968248038849454,6.238326484871126,8.031378408666413,,,,3040.0,2740.0,13.559955173701898,2.353380649981318,False,False,
2026-08-14,4543,除外,買い,74.46,1.24,+2.16σ,なし,底固め,2620.0,2578.0,2472.0,,,,-1.9644527595883976,-3.5360149672591157,-7.502338634237605,,,,2689.0,2404.0,0.6173994387277837,-10.046772684752103,False,False,
2026-08-14,9006,C,買い,45.53,0.7,-0.85σ,はらみ足,底固め,1516.0,1534.5,1539.0,,,,-0.1646361540994401,1.053671386236421,1.350016463615411,,,,1550.5,1511.0,2.107342772472842,-0.4939084622983203,False,False,
